term,example
cuddling,I saw a young couple cuddling on a park bench.
cuddling,They were cuddling on the couch.
cuddling,They fell asleep cuddling on the sofa.
culprit,"As I read through the letters, I realized that the Pope was the true culprit."
culprit,None of them would admit to being the culprit.
culprit,The culprit is caught like a rat in a trap.
culprit,It's totally without precedent for the suspect's attorney to be the true culprit.
dare,"Holy crap, who's the asshole who dares call me in the middle of the night?!"
dare,How dare you say such a thing to me?
dare,How dare you speak to me like that?
dare,How dare you say such a thing to her!
dashed,The man dashed the bottle against the wall.
dashed,The glass was dashed to pieces.
dashed,I dashed out just after breakfast.
dashed,The waves dashed against the rocks.
dazzling,The noonday sun beat down with dazzling brightness on the tennis court.
dazzling,It was as gloomy inside the mansion as the sunlight was dazzling outside.
dazzling,"His negotiations, far from ending in failure, achieved dazzling success."
dazzling,"Your eyes are like corals, dazzling and very pretty."
debunk,Those supposed photos of a UFO were finally debunked as an elaborate forgery.
debunk,It's a great book that debunks the myth of creationism.
debunk,"Above all, Tom wants to debunk clichés."
debunk,The idea that cats are antisocial is a common misconception I want to debunk.
deceive,Some are deceived by fair words.
deceive,Don't be deceived by appearances.
deceive,He deceives others with his appearance.
deceive,Nothing would tempt me to deceive him.
deceptive,"Judge people not by age, but by behavior. Years are deceptive."
deceptive,Tom is being deliberately deceptive.
deceptive,There is nothing more deceptive than an obvious fact.
deceptive,The relative calm that we've experienced in the last few years is deceptive.
delightful,It's always delightful to see you.
delightful,It was a delightful bit of nonsense.
delightful,Nothing is more delightful for me than to talk with him.
delightful,Spring is a delightful season.
demise,He met his demise at the hands of a crowd of jealous husbands.
demise,Sami was planning his own demise.
demise,Trawler nets are one possible cause for the demise of the marine mammals.
demise,Yanni was predicting his demise.
depict,James Bond was always depicted as a high roller in his movies.
depict,He vividly depicted the confusion following the earthquake.
depict,"Aliens are often depicted with dark, almond-shaped eyes."
depict,Saints are always depicted with a halo over their heads.
deserve,Everyone deserves a second chance.
deserve,Every effort deserves a reward.
deserve,You're always lying- that's why people don't take you seriously. You get what you deserve.
deserve,The honor is more than I deserve.
despise,I utterly despise formal writing!
despise,The rich sometimes despise the poor.
despise,You should not despise a man because he is poorly paid.
despise,Danger comes soonest when it is despised.
dime,Change this dollar bill for ten dimes.
dime,I want to change this dollar bill into ten dimes.
dime,Give me 20 quarters and the rest in dimes.
dime,Ten dimes are equal to one dollar.
diminishing,The population of this country is diminishing.
diminishing,Personal liberty is diminishing nowadays.
diminishing,The deficit has been diminishing little by little.
diminishing,The population of this country is gradually diminishing.
dine,The living room adjoins the dining room.
dine,What do you say to dining out together?
dine,Why don't you dine out with me for a change?
dine,How about dining out for a change?
disclose,The man was obsessed with fear that the secret might be disclosed.
disclose,You ought not to have disclosed the secret.
disclose,His secret will be disclosed soon.
disclose,He disclosed to me that he had been in prison.
disgruntled,"""I'd rather get the sack than not join the labour union,"" said the disgruntled worker."
disgruntled,We think a disgruntled employee was the one who planted the bomb.
disgruntled,How do you know this wasn't done by a disgruntled employee?
disgruntled,How do you know that this wasn't done by a disgruntled employee?
disguise,"Everybody was disguised, so I couldn't tell who was who."
disguise,I'm planning to disguise myself as a doctor.
disguise,"Although Bob was in disguise, I recognized him at a glance."
disguise,The thief disguised himself as a policeman.
disingenuous,The judge thought that the witness's evidence was disingenuous and unconvincing.
disingenuous,Tom was either being naïve or disingenuous.
dizzying,Tom looked down upon the city from the dizzying height of the skyscraper.
dizzying,She goes out in dizzying miniskirts.
dizzying,These cars can reach dizzying speeds on the straights.
dodge,"""Short tempered as ever."" He said while dodging Reika's fist."
dodge,"Don't dodge the issue, I want you to answer my question."
dodge,Chris nimbly dodged the attack!
dodge,On his bicycle he can dodge through traffic with amazing speed.
dork,I don't want to look like a dork.
dork,This is a total dork-fest nerd bar.
dork,Tom and Mary are both huge dorks and it's adorable.
dork,"At the party, John was dressed like a complete dork."
downfall,Drink brought about his downfall.
downfall,"When he was at the acme of his career, a scandal brought about his downfall."
downfall,His arrogance led to his downfall.
downfall,His love for indigenous Mexican art became his downfall.
downsides,Certainly there are downsides to leadership by coercion and force.
downsides,There are downsides to being pretty.
downsides,Living there had its downsides.
downtime,The downtime is caused by a mechanical problem.
drawbacks,This system is bristling with defects and drawbacks.
drawbacks,This article analyzes both the benefits and the drawbacks of reducing military spending.
drawbacks,"His openness is a very positive quality, although not without its drawbacks."
drawbacks,The first drawbacks concern the changing rooms and the gym equipment.
dread,The child dreads his visit to the dentist.
dread,I dreaded his reply to my letter.
dread,Why do you think animals dread fire?
dread,He may dread to learn the results.
drip,I had an intravenous drip in hospital.
drip,Honey doesn't drip from the sky.
drip,Have you experienced any nasal drip?
drip,Mennad won't be bothered by the drip anymore.
droves,Doctors were quitting smoking in droves.
droves,Tourists are out in droves in the city centre.
droves,Birds began flying away in droves.
droves,The shoppers clamored in droves.
dumpster,"Hiding from the police, Dima spent the night in a dumpster."
dumpster,"""Sleeping in a dumpster, huh?"" Al-Sayib asked. ""That must have been a smelly experience."""
dumpster,Tom took cover behind a dumpster.
dumpster,Everything goes in the dumpster.
duvet,Even in winter she kicks off her duvet.
duvet,This duvet set is made from fibre-dyed cotton.
duvet,Weather like this tempts me to have a duvet day.
duvet,The smell was there before you washed the duvet.
dwarf,I was dwarfed by his gigantic frame.
dwarf,Even Dwarfs Started Small is a 1970 film by German director Werner Herzog.
dwarf,The populations of China and India dwarf those of every other nation.
dwarf,I was a dwarf compared with my hostesses.
dye,There are 1000 movies that one must watch before dying.
dye,The flowers were dying without water.
dye,Mary is very ill and I'm afraid she is dying.
dye,Those animals were in danger of dying out.
eager,We are all eager for him to win the Nobel prize.
eager,Our staff is eager to help you.
eager,Many were eager to get in on the act.
eager,I am an eager student of magic.
edible,Carrots and turnips are edible roots.
edible,"Look, today was 'sea harvest' so let's go forage for edible plants tomorrow!"
edible,Radioactive contamination was detected in spinach and edible chrysanthemum.
edible,"The tiny yellow flowers are edible as well, and tasty."
eerie,The eerie silence struck terror into their hearts.
eerie,The bioluminescence gave the sea an eerie glow.
eerie,The zombie dragged his rotten leg behind him with an eerie scraping sound.
eerie,An eerie silence filled the air with despair.
engage,The company engaged him as an advisor.
engage,We are engaged in a difficult task.
engage,We will not tolerate anyone who engages in terrorism.
engage,I have no time to engage in gossip.
eventually,Everything eventually gets easier with practice.
eventually,Eventually it was decided that the stores be equipped with surveillance cameras.
eventually,Eventually the salesman persuaded me to buy the expensive machine.
eventually,Eventually the cruel man was sentenced to jail.
eyeglasses,I'm looking for my eyeglasses.
eyeglasses,I like your pair of eyeglasses.
eyeglasses,He cannot drive without eyeglasses.
eyeglasses,"Luckily, when Tom dropped his eyeglasses, his lenses weren't scratched."
eyelids,With great effort I held his eyelids open with my fingers and dropped in the eye medicine.
eyelids,"Dim sunbeams on my eyelids, a faint tinge dyes the room."
eyelids,"Your eyelids are closed, but I know you're awake."
eyelids,Drill little holes into my eyelids that I might see you when I sleep.
faint,The sound of shouting grew faint.
faint,I suddenly stood up and felt faint and light-headed.
faint,Faint heart never won fair lady.
faint,We waited with faint expectation.
famished,The villagers were afraid of the famished bears.
famished,Tom told me that he was famished.
famished,Mary said that she was famished.
famished,Tom said that he was famished.
far more,Smokers are far more likely to develop lung cancer than non-smokers are.
far more,Science is far more than a collection of facts and methods.
far more,Tim's motorbike is far more expensive than mine is.
far more,Jon is far more attractive than Tom.
farthest,People came from the farthest country.
farthest,Neptune is the farthest planet from the Sun.
farthest,Arkhangelsk is the farthest of the farthest places you can imagine.
farthest,Yanni uses the line farthest to the right.
fate,It is no use quarreling with fate.
fate,I would rather kill myself than reconcile myself to my fate.
fate,"Although our universe is still young, theorists are busy exploring its ultimate fate."
fate,It's a perfect example of cruel fate.
faucet,You can't use this faucet. It's out of order.
faucet,Water spouted from the broken faucet.
faucet,We couldn't use the faucet because it was out of order.
faucet,"But when I tried to turn the shower faucet, this black bubbly liquid came out."
feasible,"His plan seemed to be too difficult, but before long it proved to be feasible."
feasible,"It's easy, maybe even feasible."
feasible,Tom doesn't think Mary's plan is feasible.
feasible,We have come to the conclusion that this plan is not feasible currently.
figure out,We couldn't figure out what Paul wanted to do.
figure out,"At first, I couldn't figure out what he was saying."
figure out,Can you figure out why he won't go with us?
figure out,Can you figure out why the boss is so unfriendly this week?
figured,Have you figured out the math problem yet?
figured,We easily figured out the password.
figured,I figured out why the machine wouldn't work.
figured,The cost of the house was figured out at fifty pounds.
filling,"A child is not a vessel for filling, but a fire to light."
filling,This tooth has to have a filling.
filling,I don't feel like filling out this questionnaire. There are too many items.
filling,You got the date wrong when you were filling in the check.
filth,Filth and money lie close together.
filth,We simply didn't expect to see such filth on the family shopping site.
filth,"He will spend the next four years in the jungle, engulfed in mud and filth."
filth,There's a lot of filth in this city.
fishmonger,The fishmonger guarantees the origin and freshness of his products.
fist,The stockholders are making money hand over fist.
fist,The speaker banged the table with his fist.
fist,A closed fist can indicate stress.
fist,Never lose your fighting fists.
fitful,Tom's fitful movements only barely resembled dancing.
fitful,Ziri threw a fitful of mud on Rima's face and ran away.
fixture,She's a fixture at all the high-society parties.
fixture,Sami became a permanent fixture in Layla's house.
fixture,He was a fixture at the local mosque.
fixture,Algeria hasn't canceled its sporting fixtures.
flashy,She always wears flashy clothes.
flashy,Tom often wears flashy clothes.
flashy,Tom came to the coming-of-age ceremony in super flashy haori and hakama.
flashy,Yanni bought Skura flashy and expensive things.
flattered,She will be flattered if you go to see her in person.
flattered,We flattered her on her cooking.
flattered,He flattered himself that he was the best actor.
flattered,They flattered him about his diligence.
flattery,The attendant is good at flattery.
flattery,The cabin attendant is good at flattery.
flattery,There is nothing to be gained by flattery.
flattery,No one will be caught by his flattery.
flawless,Flawless precision is required in the measurements.
flawless,How can you speak such flawless German?
flawless,"Islam is flawless, but Muslims are not."
flawless,Tom speaks flawless Cantonese.
flaws,"I am a flawed person, but these are flaws that can easily be fixed."
flaws,Party leaders are grappling with flaws in the party system.
flaws,"If you keep harping on his flaws, he'll grow to resent you."
flaws,"Okay. To be precise, it is understanding the flaws that I don't."
flee,Hope is the last thing that man has to flee unto.
flee,"Flee ever so fast, you cannot flee your fortune."
flee,The policeman caught fleeing thief by the arm.
flee,The policeman caught the fleeing thief by the arm.
flesh,"The spirit is willing, but the flesh is weak."
flesh,The lion ripped the flesh from the dead giraffe.
flesh,"In due course, eating meat will be considered as horrible as eating human flesh."
flesh,I have seen him on TV but not in the flesh.
fluffy,The bread was baked light and fluffy.
fluffy,This towel is so soft and fluffy. It feels good!
fluffy,"The Japanese word ""mofumofu"" is used to describe fluffy and light animals."
fluffy,"Also, after it is whipped, a fluffy texture emerges."
foil,The coup attempt was foiled at the last moment.
foil,Make balls 3 centimeters in diameter and place them on a sheet of buttered aluminum foil.
foil,A little old woman foiled the robbery by whacking the thief on the head with her cane.
foil,Preheat oven to 200°C (400°F). Line a baking sheet with aluminum foil.
follow up,The social worker was asked to follow up the information about the Stevenson family.
follow up,I'm e-mailing to follow up on our phone conversation this morning.
follow up,We try to follow up on every complaint.
follow up,Could you please follow up on that idea after the meeting?
for the record,Who was looking for the record shop?
for the record,"Just for the record, I totally disagree with this decision."
for the record,"For the record, Tom didn't have anything to do with this."
for the record,State your full name for the record.
for too long,I left some scallions out on the veranda for too long and they dried out.
for too long,I hope we don't have to wait for too long.
for too long,Don't expose your skin to the sun for too long.
for too long,Women have been resigned to unjust treatment for too long.
forearm,"My wrist and forearm hurt, I think I might be suffering from carpal tunnel syndrome."
forearm,The elbow is the joint between the arm and forearm.
forearm,The elbow is a joint that connects the forearm and the upper arm.
forearm,You have a mosquito on your right forearm.
fortune teller,They went to a fortune teller.
fortune teller,Mary took Ken to a fortune teller.
fortune teller,Mary went to a fortune teller for many years.
fortune teller,Mary showed Ken another fortune teller.
freckle,Shit shot with a gun makes the best freckles.
freckle,Red-haired people tend to have freckles.
freckle,Redheads often have a pale complexion and freckles.
freckle,She has red hair and freckles.
frisky,Kittens are infinitely frisky.
from here on out,"From here on out, you'll be on your own."
from here on out,"From here on out things are going to change, for the worse."
from here on out,"From here on out, it's smooth sailing."
from here on out,You're on your own from here on out.
frowned upon,"Killing your spouse is one way to end a marriage. However, it's frowned upon."
frowned upon,"Today, separation and divorce are not as frowned upon."
frowned upon,"In the past, separation and divorce were frowned upon by everyone."
frowned upon,"Generally speaking, gambling is frowned upon."
fuck off,"I do not take shit home, I tell straight away. Fuck off!"
fuck off,You can fuck off for all I care!
fuck off,"""Fuck off!"" ""What did you just say, asshole?"""
fuck off,"""Fuck off!"" ""Say that again, asshole?"""
fulfilling,"""It's not my job"" is a self-fulfilling prophecy."
fulfilling,People are presenting reasons for not fulfilling their obligation to respond.
fulfilling,They are fulfilling the commandment to host guests.
fulfilling,They are fulfilling the commandment to take in guests.
fumble,She fumbled with the glasses as she brought them in.
fumble,She fumbled with a piece of paper.
fumble,He fumbled with the keys before finding the right one.
fumble,She fumbled around in the darkness.
garish,The film is a simple story cloaked in garish splendour.
garish,It's a garish dress she's got on.
garish,"The colour of the bedlinen is a bit garish, but it'll fade in the wash."
gawkers,There were many gawkers outside.
get across,I cannot get across this river. It's too deep.
get across,We'll never get across the river without a boat.
get across,"""Should I carry you to get across?"" ""That'd be very nice of you!"""
get across,The officer offered to help the blind person get across.
get back,I'll stay here till you get back.
get back,Pretty soon we'd better wrap up this break and get back to work.
get back,I will see him after I get back.
get back,I thought it would be a good idea to get back in touch with Japanese culture and history.
get better,The doctor spoke to the effect that my father would soon get better.
get better,You should exert yourself to get better results.
get better,He will get better in two weeks.
get better,"I thought things would get better, but as it is, they are getting worse."
get it out of the way,"Once the mind has taken a wrong turn, it's hard to get it out of the way."
get out,"Most people have a great disinclination to get out of bed early, even if they have to."
