front,back,hint,publishedAt,pronunciation
get it out of the way,dejar algo claro,Let's get it out of the way: do you still want to go?,2026-05-16T07:15:27.909Z,/ˈɡɛt ˈɪt ˈaʊt ˈʌv ðə ˈweɪ/
hotshot,as/fenomeno,"He thinks he’s a hotshot because he got a promotion, but he still has a lot to learn.",2026-05-16T07:07:38.335Z,/ˈhɑˌʃɑt/
dazzling,deslumbrante,She wore a dazzling dress at the party.,2026-05-16T07:04:28.205Z,/ˈdæzəlɪŋ/
debunk,desmentir,The scientist worked hard to debunk the myths about vaccines.,2026-05-15T08:10:33.469Z,/dɪˈbʌŋk/
unassuming,modesto,She is an unassuming person who never seeks the spotlight.,2026-05-15T08:02:28.962Z,/ˌʌnəˈsumɪŋ/
flawless,perfecto,Her performance in the play was flawless.,2026-05-13T06:31:14.274Z,/ˈflɔləs/
give it a go,inténtalo,Why don't you give it a go?,2026-05-08T13:37:20.378Z,/ˈɡɪv ˈɪt ə ˈɡoʊ/
straw,Pajita,I made a hat out of straw.,2026-05-04T12:34:13.473Z,/ˈstɹɔ/
ban,prohibición,The school decided to ban chewing gum in the classrooms.,2026-05-03T09:58:55.774Z,/ˈbæn/
thoughtful,amable / considerado,It was thoughtful of you to help your friend with their homework.,2026-05-03T09:57:35.366Z,/ˈθɔtfəl/
screw up,arruinar,I really screwed up the presentation yesterday.,2026-05-03T09:55:13.225Z,/ˈskɹu ˈʌp/
to be grounded,estar castigado,"After breaking the rules, she was grounded for a week.",2026-05-03T09:53:50.797Z,/ˈtu ˈbi ˈɡɹaʊndɪd/
cool off,calmarse,"After the argument, she needed some time to cool off.",2026-05-03T09:53:33.610Z,/ˈkul ˈɔf/
crank up the volume,sube el volumen,Can you crank up the music?,2026-05-03T09:49:19.593Z,/ˈkɹæŋk ˈʌp ðə ˈvɑljum/
sneak,a hurtadillas / furtivamente,I will sneak out of the house at night.,2026-05-03T09:47:33.057Z,/ˈsnik/
picky,quisquilloso,My sister is very picky about what she eats; she only likes certain vegetables.,2026-05-02T21:28:49.800Z,/ˈpɪki/
unhinged,desquiciado,"After losing the game, he became unhinged and started yelling.",2026-05-02T18:58:51.746Z,/əˈnhɪndʒd/
liability,responsabilidad,The company has a liability to pay its employees on time.,2026-05-02T13:11:59.834Z,/ˌlaɪəˈbɪlɪti/
to be in a funk,estar de bajón,"After losing the game, Jake was in a funk for the rest of the day.",2026-04-30T15:58:31.273Z,/ˈtu ˈbi ɪn ə ˈfʌŋk/
nag,"dar la lata, molestar",She always nags her brother to clean his room.,2026-04-28T07:43:00.179Z,/ˈnæɡ/
illiteracy,analfabetismo,Illiteracy is a major issue in many developing countries.,2026-04-23T05:05:22.255Z,/ˌɪˈlɪtɚəsi/
It was a lot of fun.,Nos lo hemos pasado muy bien.,Last weekend's picnic was amazing; it was a lot of fun!,2026-04-16T05:29:33.590Z,/ˈɪt ˈwɑz ə ˈlɑt ˈʌv ˈfʌn/
grunt work,trabajo pesado,"After finishing the fun part of the project, we had to tackle the grunt work of organizing all the files.",2026-04-14T18:25:34.318Z,/ˈɡɹʌnt ˈwɝk/
worn,gastado,The shoes were so worn that I could see the holes in them.,2026-04-04T09:29:56.441Z,/ˈwɔɹn/
butler,mayordomo,The butler served dinner to the guests.,2026-04-03T12:43:06.731Z,/ˈbʌtlɚ/
parcel,paquete,I received a parcel in the mail today.,2026-04-03T12:28:29.224Z,/ˈpɑɹsəl/
sweat,sudor,I could feel the sweat dripping down my back.,2026-04-03T12:01:53.083Z,/ˈswɛt/
lean,inclinarse/esbelto,She had to lean against the wall to catch her breath.,2026-04-03T11:59:02.910Z,/ˈlin/
cling,adherirse,The wet clothes will cling to your skin if you don’t dry them properly.,2026-04-03T11:50:39.749Z,/ˈklɪŋ/
rabble,muchedumbre,"During the protest, the rabble became increasingly agitated.",2026-04-03T11:46:33.713Z,/ˈɹæbəl/
crawl,reptar,He had to crawl under the table to get the toy.,2026-04-03T06:32:15.281Z,/ˈkɹɔl/
tightly,con fuerza,,2026-04-01T06:42:36.961Z,/ˈtaɪtli/
forearm,antebrazo,He injured his forearm while playing basketball.,2026-04-01T06:38:58.400Z,/fɔˈɹɑɹm/
scale,báscula,The baker used a scale to weigh the flour for the cake.,2026-03-31T20:23:55.040Z,/ˈskeɪl/
famished,famélico,I was famished after the long hike.,2026-03-29T00:32:03.725Z,/ˈfæmɪʃt/
needles,agujas,The pine tree has sharp needles that fall in the winter.,2026-03-24T14:04:09.963Z,/ˈnidəlz/
jostle,empujar,The children began to jostle each other as they rushed to get to the front of the line.,2026-03-23T21:33:02.077Z,/ˈdʒɑsəl/
gawkers,mirones,"The accident caused a lot of gawkers to stop and stare, blocking the road.",2026-03-23T21:30:57.469Z,/ˈɡɑkɚz/
hawkers,vendedores ambulantes,The hawkers at the night market offer a variety of delicious street food.,2026-03-23T21:30:39.328Z,/ˈhɔkɚz/
motley,variopinto,"At the festival, there was a motley crowd of people from all walks of life.",2026-03-23T21:26:30.312Z,/ˈmɑtli/
all in all,considerándolo todo,"All in all, it was a great trip.",2026-03-23T14:15:20.630Z,/ˈɔl ɪn ˈɔl/
limbs,extremidades,"After the long hike, my limbs felt tired and sore.",2026-03-23T14:13:17.828Z,/ˈlɪmz/
sewer,alcantarilla,The heavy rain caused the sewer to overflow.,2026-03-23T14:12:28.781Z,/ˈsuɚ/
unbearable,inaguantable,The pain was unbearable after the accident.,2026-03-23T14:08:36.435Z,/əˈnbɛɹəbəl/
craned your neck,estirar el cuello,He craned his head back to look at the stars in the night sky.,2026-03-22T09:17:13.405Z,/ˈkɹeɪnd ˈjɔɹ ˈnɛk/
alley,callejón,The children played hide and seek in the alley behind the houses.,2026-03-22T09:14:11.244Z,/ˈæli/
bugger,pobre diablo/mocoso,Did you see that little bugger who ran down the hall?,2026-03-22T09:13:09.075Z,/ˈbʌɡɚ/
claw,garra,The cat used its claw to scratch the furniture.,2026-03-22T09:07:41.757Z,/ˈklɔ/
fishmonger,pescadero,The fishmonger at the market always has the freshest catch of the day.,2026-03-22T09:06:55.606Z,/ˈfɪˌʃmɑŋɡɚ/
tux,esmoquin,He wore a stylish tux to the wedding.,2026-03-22T09:05:03.432Z,/ˈtʌks/
blubbering,lloriqueando,"After losing the game, the little boy was blubbering in the corner.",2026-03-21T15:16:47.924Z,/ˈblʌbərɪŋ/
filling,empaste,I have two fillings in my teeth.,2026-03-21T15:15:07.660Z,/ˈfɪlɪŋ/
sip,sorbo,She took a sip of her hot chocolate and smiled.,2026-03-18T14:24:01.852Z,/ˈsɪp/
astounding,asombroso,The magician's performance was astounding.,2026-03-17T22:08:23.433Z,/əˈstaʊndɪŋ/
uneventful,sin incidentes,The trip turned out to be quite uneventful.,2026-03-15T14:48:30.047Z,/ˌʌniˈvɛntfəl/
peppy,animado,The peppy music made everyone want to dance.,2026-03-13T04:25:37.806Z,/ˈpɛpi/
disgruntled,descontento,The employees were disgruntled about the new policies.,2026-03-13T04:23:24.446Z,/dɪˈsɡɹʌntəld/
savvy,inteligente,She is very savvy when it comes to technology.,2026-03-12T10:08:39.414Z,/ˈsævi/
hands down,sin duda,This is hands down the best pizza I've ever had.,2026-03-12T09:56:46.227Z,/ˈhændz ˈdaʊn/
catcall,silbido acosador,Many people believe that cat calling is disrespectful and should not happen.,2026-03-12T06:05:43.520Z,/ˈkæˌtkɔl/
swept under the rug,barrido bajo la alfombra,The company's financial problems were swept under the rug until it was too late to fix them.,2026-03-11T06:05:23.074Z,/ˈswɛpt ˈʌndɚ ðə ˈɹʌɡ/
rehearsal,ensayo,We need to schedule a rehearsal for the school concert next week.,2026-03-07T09:31:45.133Z,/ɹɪˈhɝsəl/
can't stand,no puede soportar,I can't stand loud music.,2026-03-07T09:31:30.018Z,/ˈkænt ˈstænd/
made up,inventar,She made up a story about a dragon to entertain her friends.,2026-03-07T09:30:36.890Z,/ˈmeɪd ˈʌp/
catch on,entender,"After a few tries, I finally caught on to how to solve the puzzle.",2026-03-07T09:30:02.849Z,/ˈkætʃ ˈɑn/
freckle,peca,She has cute freckles on her nose that appear in the summer.,2026-03-07T09:28:43.929Z,/ˈfɹɛkəl/
backfired,le salió el tiro por la culata,The prank he played on his friend backfired when everyone started laughing at him instead.,2026-03-07T09:27:17.032Z,/ˈbæˌkfaɪɚd/
sprinkler,aspersor,The sprinkler watered the garden evenly.,2026-03-07T09:25:58.296Z,/ˈspɹɪŋklɚ/
hassling,molestando,Stop hassling me about my homework; I will finish it soon!,2026-03-07T09:21:22.998Z,/ˈhæsəlɪŋ/
scrape,raspar,The child used a spoon to scrape the last bit of ice cream from the bowl.,2026-03-06T18:27:18.139Z,/ˈskɹeɪp/
potty,orinal,My little brother is learning to use the potty.,2026-03-06T18:26:16.513Z,/ˈpɑti/
noogie,coscorrón,"He always gives me a noogie when he wants to tease me, and I can't help but laugh.",2026-03-06T18:21:18.998Z,/ˈnuɡi/
hang out,pasar el rato,I’m going to hang out at the mall with my friends this Saturday.,2026-03-06T18:20:34.135Z,/ˈhæŋ ˈaʊt/
dime,diez centavos,,2026-03-05T17:12:33.822Z,/ˈdaɪm/
screening,"prueba, evaluación",The company is conducting a screening of all job applicants.,2026-03-05T16:58:03.886Z,/ˈskɹinɪŋ/
hand out,repartir,The teacher will hand out the homework assignments at the end of class.,2026-03-05T16:56:21.538Z,/ˈhænd ˈaʊt/
gifted,superdotado,She is a gifted musician.,2026-03-05T16:56:07.827Z,/ˈɡɪftəd/
chew out,regañar,"After missing the deadline, the manager chewed out the team for their lack of organization.",2026-03-05T16:54:56.217Z,/ˈtʃu ˈaʊt/
racket,ruido fuerte,The racket from the construction site was very annoying.,2026-03-05T16:53:12.988Z,/ˈɹækɪt/
hoop,aro,She jumped through the hoop during the circus performance.,2026-03-05T16:41:55.955Z,/ˈhup/
blacktop,asfalto,The blacktop driveway was smooth and easy to walk on.,2026-03-05T16:41:30.243Z,/ˈblæˌktɑp/
sneak off,escabullirse,"After the party, I decided to sneak off before anyone noticed.",2026-03-05T16:39:51.634Z,/ˈsnik ˈɔf/
drawbacks,inconvenientes,One of the drawbacks of living in a big city is the high cost of living.,2026-03-04T12:32:48.193Z,/ˈdɹɔˌbæks/
surrender,rendirse,I had to surrender to the police.,2026-03-02T22:10:46.728Z,/sɚˈɛndɚ/
quirks,rarezas,Her quirks include talking to her plants and collecting unusual rocks.,2026-03-01T23:30:52.592Z,/ˈkwɝks/
acute,agudo,The acute angle in the triangle measures less than 90 degrees.,2026-02-24T05:39:06.865Z,/əˈkjut/
casket,ataúd,"During the funeral, the casket was placed in the center of the room for everyone to pay their respects.",2026-02-20T00:00:30.550Z,/ˈkæskət/
harvest,cosecha,,2026-02-17T07:19:04.892Z,/ˈhɑɹvəst/
achy,doloroso,"After the long hike, my legs felt achy.",2026-02-15T12:09:23.914Z,/ˈeɪki/
luster,brillo,The luster of the diamond made it the center of attention in the jewelry store.,2026-02-14T07:36:33.047Z,/ˈlʌstɚ/
tradeoff,"sacrificar, solución intermedia",Choosing to study for an exam means making a tradeoff with your free time.,2026-02-12T09:47:51.434Z,/ˈtɹeɪˌdɔf/
steer,conducir,He had to steer the car carefully around the sharp turn.,2026-02-12T09:45:10.650Z,/ˈstɪɹ/
hallway,pasillo,The children ran down the hallway to their classroom.,2026-02-12T06:07:26.538Z,/ˈhɔˌlweɪ/
petty,insignificante,Don't waste your time on petty complaints.,2026-02-07T06:55:38.985Z,/ˈpɛˌti/
pester,molestar,"I don't want to pester you, but can you help me with my homework?",2026-02-05T18:33:29.210Z,/ˈpɛstɚ/
shivering,temblando,The little boy was shivering in the cold wind.,2026-02-03T07:34:11.296Z,/ˈʃɪvɚɪŋ/
we shall see,veremos,"When asked if it will rain tomorrow, she replied, ""We shall see.",2026-02-03T07:33:23.621Z,/ˈwi ˈʃæl ˈsi/
peasant,campesino,The peasant worked hard in the fields every day.,2026-02-03T00:09:05.310Z,/ˈpɛzənt/
faucet,grifo,I turned on the faucet to wash my hands.,2026-02-01T08:50:53.588Z,/ˈfɔsət/
over heighten,exagerar,"She tends to over heighten her stories, which makes them hard to believe.",2026-02-01T08:37:47.225Z,/ˈoʊvɚ ˈhaɪtən/
riot,distirbios,Police were called to control the riot that broke out in the downtown area.,2026-02-01T08:36:46.723Z,/ˈɹaɪət/
eerie,inquietante,She heard an eerie sound coming from the dark forest.,2026-02-01T08:33:07.837Z,/ˈɪɹi/
treacherous,traicionero,The treacherous path made the hike very dangerous.,2026-02-01T08:31:34.545Z,/ˈtɹɛtʃɚəs/
lean into,enfrentarse,"Instead of avoiding her fears, she chose to lean into them and learn more about herself.",2026-01-31T10:29:04.793Z,/ˈlin ˈɪntu/
raspiness,aspereza,Her voice had a raspiness that made it sound unique and interesting.,2026-01-31T10:20:22.594Z,/ˈræspɪnəs/
strive,esforzarse,I strive to do my best in school.,2026-01-31T08:41:25.992Z,/ˈstɹaɪv/
joint,articulación/antro,,2026-01-31T08:35:25.960Z,/ˈdʒɔɪnt/
goofy,bobalicón,My little brother always makes goofy faces to make us laugh.,2026-01-31T08:27:40.730Z,/ˈɡufi/
sizzle,chisporroteo,,2026-01-31T08:16:34.969Z,/ˈsɪzəl/
cachinnate,carcajear,"During the comedy show, the audience began to cachinnate at the funniest jokes.",2026-01-31T07:42:32.727Z,/ˈkækɪneɪt/
blob,masa informe,There was a blob of jelly on my toast.,2026-01-29T19:00:15.033Z,/ˈblɑb/
cram,embutir,She crammed all her clothes into the suitcase.,2026-01-29T06:52:49.220Z,/ˈkɹæm/
hideous,horrible,She wore a hideous dress that nobody liked at the party.,2026-01-28T19:19:10.999Z,/ˈhɪdiəs/
flattery,alagar,She used flattery to get what she wanted.,2026-01-25T07:08:22.396Z,/ˈflætɚi/
dumpster,contenedor de basura,The workers filled the dumpster with old furniture and broken appliances.,2026-01-24T22:18:30.107Z,/ˈdʌmpstɚ/
crib,cuna,The baby is sleeping in the crib.,2026-01-24T09:37:16.659Z,/ˈkɹɪb/
grasp on,comprensión de,The teacher helped the students gain a better grasp on the topic.,2026-01-24T09:36:41.857Z,/ˈɡɹæsp ˈɑn/
flaws,defectos,The report had several flaws that needed to be corrected.,2026-01-24T07:28:51.270Z,/ˈflɔz/
sizzle out,apagarse,"The party started with a lot of energy, but it began to sizzle out by midnight.",2026-01-24T07:27:32.806Z,/ˈsɪzəl ˈaʊt/
downtime,tiempo de inactividad,"During the downtime, we can plan our next project.",2026-01-24T07:12:36.188Z,/ˈdaʊˌntaɪm/
deceive,engañar,He tried to deceive me with a fake story.,2026-01-24T06:55:18.467Z,/dɪˈsiv/
vain,vanidoso,She is so vain that she spends hours looking in the mirror.,2026-01-24T06:50:21.825Z,/ˈveɪn/
scarecrow,espantapájaros,The farmer built a scarecrow to keep the crows away from his cornfield.,2026-01-24T06:44:08.886Z,/ˈskæˌɹkɹoʊ/
scare off,asustar,The loud noise from the fireworks scared off the birds.,2026-01-24T06:40:47.506Z,/ˈskɛɹ ˈɔf/
bonfire,hoguera,"Every summer, we have a bonfire night with friends.",2026-01-24T06:31:49.560Z,/ˈbɑˌnfaɪɚ/
to be stalked,ser acosado,She felt scared because she thought she was being stalked by someone she didn't know.,2026-01-23T05:17:07.276Z,/ˈtu ˈbi ˈstɔkt/
berate,regañar,The teacher berated the students for not completing their homework on time.,2026-01-22T16:57:16.766Z,/bɪˈɹeɪt/
hazard,peligro,The wet floor is a slip hazard.,2026-01-21T06:09:37.963Z,/ˈhæzɚd/
shrink,encogerse,The sweater will shrink if you wash it in hot water.,2026-01-19T22:11:36.605Z,/ˈʃɹɪŋk/
I give a damn,Me importa un comino.,I give a damn about my friends' happiness.,2026-01-19T00:08:32.561Z,/ˈaɪ ˈɡɪv ə ˈdæm/
chuckle,risita,She couldn't help but chuckle at the funny joke.,2026-01-18T09:29:02.809Z,/ˈtʃʌkəl/
to be swollen,estar hinchado,"After the bee sting, her hand was swollen and painful.",2026-01-16T23:28:48.879Z,/ˈtu ˈbi ˈswoʊlən/
my body is sore,me duele el cuerpo,"After the long hike, my body is sore and I need to rest.",2026-01-16T23:27:33.313Z,/ˈmaɪ ˈbɑdi ˈɪz ˈsɔɹ/
to have a ditch day,tener un día libre,We decided to have a ditch day and go to the beach instead of school.,2026-01-16T23:25:45.781Z,/ˈtu ˈhæv ə ˈdɪtʃ ˈdeɪ/
mishaps,percances,"We had a few mishaps during our camping trip, like forgetting the tent poles.",2026-01-15T17:41:11.362Z,/ˈmɪˌshæps/
brag,presumir,He likes to brag about his new car.,2026-01-13T22:58:03.512Z,/ˈbɹæɡ/
stuffed animal,peluche,I have a big stuffed animal that I sleep with every night.,2026-01-07T23:37:19.518Z,/ˈstʌft ˈænəməl/
whole heartedly,de todo corazón,He whole heartedly believes in the importance of education for everyone.,2026-01-04T00:29:54.203Z,/ˈhoʊl ˈhɑɹtɪdli/
leftovers,sobras,I put the leftovers in the fridge for tomorrow.,2025-12-30T00:01:59.785Z,/ˈlɛˌftoʊvɚz/
barefoot,descalzo,She loves to walk barefoot on the grass in the summer.,2025-12-27T05:21:29.317Z,/ˈbɛˌɹfʊt/
Good grief,Por Dios,"Good grief, I can't believe how much homework we have this week!",2025-12-25T22:08:40.598Z,/ˈɡʊd ˈɡɹif/
I dread it!,¡Lo detesto!,I dread it when I have to give a speech in front of the class.,2025-12-25T08:17:12.254Z,/ˈaɪ ˈdɹɛd ˈɪt/
downsides,desventajas,One of the downsides of living in a big city is the high cost of living.,2025-12-20T07:40:59.614Z,/ˈdaʊˌnsaɪdz/
car wreck,accidente de coche,The car wreck on the highway caused a long traffic jam.,2025-12-20T07:17:08.775Z,/ˈkɑɹ ˈɹɛk/
I wouldn’t have pegged...,No habría imaginado...,I wouldn’t have pegged her as a great singer; she seems so shy.,2025-12-11T21:05:52.738Z,/aɪ ˈwʊdənt həv pɛɡd/
plunge,sumergir,He took a deep breath and plunged into the cold water.,2025-12-10T06:28:45.440Z,/ˈplʌndʒ/
gooey,pegajoso,"After the rain, the mud became gooey and hard to walk through.",2025-12-09T22:41:05.057Z,/ˈɡui/
lousy,malísimo,This movie was really lousy.,2025-12-08T22:11:24.626Z,/ˈlaʊzi/
shyster ring,pandilla de estafadores,The police uncovered a shyster ring that was selling fake insurance policies.,2025-12-08T20:35:35.306Z,/ˈʃaɪstɚ ˈɹɪŋ/
thrifty,ahorradora,My grandmother is very thrifty; she always finds the best deals at the store.,2025-12-08T20:33:53.060Z,/ˈθɹɪfti/
pun,juego de palabras,I had to ask the AI about that subtle pun,2025-12-06T00:04:23.953Z,/ˈpʌn/
flesh,carne,"After the accident, the doctor examined the flesh to check for any injuries.",2025-12-04T09:01:07.216Z,/ˈflɛʃ/
pimples,espinillas,I have a few pimples on my forehead.,2025-12-04T08:59:56.081Z,/ˈpɪmpəlz/
sassy,descarado,She gave a sassy reply to the teacher.,2025-12-03T22:36:22.273Z,/ˈsæsi/
torn,rasgado,His shirt was torn after the fight.,2025-11-30T00:02:35.438Z,/ˈtɔɹn/
hush,Cállate,"She put her finger to her lips and said, ""Hush, the baby is sleeping.",2025-11-29T23:53:48.551Z,/ˈhʌʃ/
fortune teller,adivino,She visited a fortune teller to learn about her future.,2025-11-28T07:07:09.962Z,/ˈfɔɹtʃən ˈtɛlɚ/
I don't want to get my hopes up,No quiero hacerme ilusiones.,"I'm excited about the job interview, but I don't want to get my hopes up.",2025-11-28T06:59:08.245Z,/ˈaɪ ˈdoʊnt ˈwɑnt ˈtu ˈɡɛt ˈmaɪ ˈhoʊps ˈʌp/
band-aids,tiritas,I put a Band-Aid on my finger after I cut it while cooking.,2025-11-28T06:56:05.094Z,/ˈbændˌeɪdz/
pissant,mequetrefe,She called him a pissant for not standing up for himself.,2025-11-27T06:12:03.305Z,/ˈpɪsˌænt/
to curse,"decir palabrotas, maldecir",He started to curse when he stubbed his toe on the table.,2025-11-27T06:10:29.236Z,/ˈtu ˈkɝs/
I'm mad,Estoy enfadado.,She is mad at her friend for not coming to the party.,2025-11-27T06:02:10.239Z,/ˈaɪm ˈmæd/
oversight,descuido,Her oversight led to a mistake in the report.,2025-11-25T12:03:48.118Z,/ˈoʊvɚˌsaɪt/
eyeglasses,gafas,I need to wear my eyeglasses to read the book.,2025-11-23T07:44:26.979Z,/ˈaɪˌɡlæsəz/
pricy,caro,"The new smartphone is really pricy, but it has amazing features.",2025-11-23T07:39:37.103Z,/ˈpraɪsi/
mow,Cortar el césped,The gardener will mow the lawn every Saturday.,2025-11-20T12:56:21.193Z,/ˈmoʊ/
skunk,mofeta,The skunk sprayed its strong-smelling liquid when it felt threatened.,2025-11-20T06:05:51.329Z,/ˈskʌŋk/
to be aghast,estar horrorizado,She was aghast when she saw the damage caused by the storm.,2025-11-19T22:15:04.485Z,/ˈtu ˈbi əˈɡæst/
it's staggering,Es asombroso.,The amount of food wasted each year is staggering.,2025-11-19T21:47:14.440Z,/ˈɪts ˈstæɡɚˌɪŋ/
sneering,burla,His sneering comments made her feel unappreciated.,2025-11-19T21:45:02.337Z,/ˈsnɪɹɪŋ/
gloomy,sombrío,The sky was gloomy all day.,2025-11-18T22:30:24.575Z,/ˈɡlumi/
vine,enredadera,,2025-11-18T15:37:51.834Z,/ˈvaɪn/
eyelids,párpados,She blinked her eyelids to keep her eyes from drying out.,2025-11-17T18:16:39.794Z,/ˈaɪˌlɪdz/
convenient,práctico,It’s convenient to have a bus stop nearby.,2025-11-06T23:00:36.097Z,/kəˈnvinjənt/
thrive,prosperar,The flowers in the garden thrive with plenty of sunlight and water.,2025-11-06T22:36:46.589Z,/ˈθɹaɪv/
maiden name,nombre de soltera,She decided to keep her maiden name after getting married.,2025-11-06T09:31:21.411Z,/ˈmeɪdən ˈneɪm/
stool,taburete,"After dinner, the children took turns sitting on the stool to reach the sink.",2025-11-05T22:42:27.802Z,/ˈstul/
conundrum,misterio,She enjoyed solving the conundrum presented in the mystery novel.,2025-11-04T20:16:55.753Z,/kəˈnʌndɹəm/
leach out,aprovechar,I want to leach out as much as possible.,2025-11-04T06:03:25.637Z,/ˈlitʃ ˈaʊt/
kennel,caseta del perro,The dog slept in its kennel all night.,2025-11-02T10:44:29.893Z,/ˈkɛnəl/
chew,masticar,I like to chew gum.,2025-11-02T10:44:05.966Z,/ˈtʃu/
tins,latas,We bought several tins of soup for the winter.,2025-11-02T10:43:54.736Z,/ˈtɪnz/
to give grief,dar la lata,The guys gave me plenty of grief for it as usual.,2025-11-02T07:36:20.998Z,/ˈtu ˈɡɪv ˈɡɹif/
tracksuit,chandal,I wear my tracksuit when I go jogging in the park.,2025-11-01T10:35:24.897Z,/ˈtrækˌsut/
chainsaw,motosierra,Be careful when using a chainsaw; it can be very dangerous.,2025-10-31T13:55:40.576Z,/ˈtʃeɪˌnsɔ/
horsing around,haciendo el tonto,"The kids were horsing around in the backyard, laughing and playing tag.",2025-10-31T13:53:39.128Z,/ˈhɔɹsɪŋ ɚˈaʊnd/
nonchalant,despreocupado,"His nonchalant attitude during the exam surprised everyone, as most students were nervous.",2025-10-29T07:53:42.119Z,/ˌnɑnʃəˈlɑnt/
I wish.,Ojalá.,I wish I could fly like a bird.,2025-10-28T20:41:04.042Z,/ˈaɪ ˈwɪʃ/
sting,picadura,The bee will sting if you get too close.,2025-10-27T07:00:00.699Z,/ˈstɪŋ/
crisp air,aire fresco,The morning walk was delightful with the crisp air filling my lungs.,2025-10-27T06:53:15.196Z,/ˈkɹɪsp ˈɛɹ/
nook,rincón,I love to read in my cozy nook by the window.,2025-10-26T07:52:54.233Z,/ˈnʊk/
spare room,habitación libre,She turned the spare room into a cozy reading nook.,2025-10-26T07:52:41.253Z,/ˈspɛɹ ˈɹum/
wealthy,adinerado,Many wealthy individuals donate to charity.,2025-10-26T07:42:53.361Z,/ˈwɛlθi/
Just my luck!,¡Qué suerte la mía!,"I forgot my umbrella, and now it's raining. Just my luck!",2025-10-26T07:41:52.710Z,/ˈdʒʌst ˈmaɪ ˈlʌk/
she’s on cloud nine,Está en la gloria.,"After winning the championship, she's on cloud nine.",2025-10-24T06:13:15.940Z,/ʃiz ɑn klaʊd naɪn/
icky,asqueroso,The old food in the fridge smelled icky and needed to be thrown away.,2025-10-22T21:40:44.522Z,/ˈɪki/
spotty,irregular,Her attendance at school has been spotty this semester.,2025-10-21T22:17:54.154Z,/ˈspɑti/
heist,robo,The movie was about a daring heist at a famous museum.,2025-10-20T06:37:33.832Z,/ˈhaɪst/
Kindred spirts,Almas gemelas,"After talking for hours, I realized we were kindred spirits.",2025-10-19T05:55:36.578Z,/ˈkɪndrəd ˈspɪɹɪts/
bliss,felicidad,She felt a sense of bliss while watching the sunset.,2025-10-19T05:54:27.849Z,/ˈblɪs/
no lip,sin protestar,"Don’t be a grump go to the competition, no lip, mister.",2025-10-18T12:39:33.077Z,/ˈnoʊ ˈlɪp/
grump,gruñón,My neighbor is such a grump; he never smiles.,2025-10-18T12:37:46.800Z,/ˈɡɹʌmp/
oodles,un montón,of getting things done with oodles of time on my hands.,2025-10-18T07:12:03.477Z,/ˈudəlz/
toss,sacudida,He tossed his keys on the table.,2025-10-17T10:33:10.721Z,/ˈtɔs/
